aX,aY,aZ,gX,gY,gZ
-3.370,10.420,-10.490,-1.250,2.313,-7.625
-3.760,10.470,-10.780,-2.250,12.313,-2.938
-4.430,10.830,-11.450,-0.125,16.812,-0.437
-4.430,10.830,-11.450,-0.125,16.812,-0.437
-4.490,10.960,-11.640,2.250,14.813,-0.062
-4.490,10.960,-11.640,3.313,9.375,-1.062
-4.470,11.040,-11.720,3.313,9.375,-1.062
-4.180,11.040,-11.390,1.750,5.875,0.312
-4.020,10.900,-11.270,0.687,4.000,3.063
-4.020,10.900,-11.270,-1.375,1.625,5.625
-3.930,10.730,-11.220,-1.375,1.625,5.625
-3.880,10.670,-11.210,-3.375,0.125,7.500
-3.880,10.670,-11.210,-3.375,0.125,7.500
-3.780,10.810,-11.040,-5.187,2.000,9.000
-3.950,10.810,-11.210,-5.062,6.875,9.688
-4.300,10.820,-11.730,-2.438,11.000,9.313
-4.300,10.820,-11.730,2.250,7.937,6.125
-4.590,11.120,-12.050,2.250,7.937,6.125
-4.170,11.610,-11.940,6.687,1.812,0.000
-4.170,11.610,-11.940,6.687,1.812,0.000
-3.950,11.320,-11.670,10.125,-2.938,-6.062
-3.750,11.210,-11.540,11.125,-4.125,-8.625
-3.540,11.240,-11.450,8.563,-3.438,-8.188
-3.660,11.130,-11.270,1.062,-0.125,-4.437
-3.660,11.130,-11.270,1.062,-0.125,-4.437
-3.940,11.060,-11.400,-5.125,5.250,0.125
-3.940,11.060,-11.400,-8.813,7.187,3.625
-4.140,11.040,-11.590,-8.813,7.187,3.625
-4.270,10.970,-11.730,-9.375,3.875,4.000
-4.220,10.850,-11.410,-7.875,-1.062,3.125
-4.050,10.870,-11.210,-4.562,-2.500,3.063
-4.050,10.870,-11.210,-4.562,-2.500,3.063
-3.820,10.860,-11.050,-0.062,-1.750,3.375
-3.820,10.860,-11.050,2.688,-0.750,1.937
-3.590,11.000,-11.140,2.688,-0.750,1.937
-3.570,11.070,-11.130,4.187,-0.250,0.312
-3.520,11.110,-11.180,5.125,0.875,-1.750
-3.520,11.110,-11.180,4.750,0.937,-4.312
-3.520,11.170,-11.320,4.750,0.937,-4.312
-3.660,10.990,-11.220,2.125,0.062,-5.500
-3.660,10.990,-11.220,2.125,0.062,-5.500
-3.790,10.880,-11.300,1.062,0.937,-5.937
-0.260,0.600,-0.190,1.500,1.375,-5.687
-0.260,0.600,-0.190,2.813,0.500,-5.500
-0.210,0.610,-0.180,2.813,0.500,-5.500
-0.050,0.680,-0.050,4.187,-1.375,-5.750
-0.050,0.680,-0.050,3.938,-0.375,-4.687
0.080,0.850,0.100,3.938,-0.375,-4.687
0.060,0.840,-0.020,2.063,3.875,-2.375
0.060,0.840,-0.020,0.687,5.937,-1.000
-0.160,0.800,-0.210,0.687,5.937,-1.000
-0.440,0.610,-0.300,0.625,4.437,-0.750
-0.540,0.530,-0.240,0.687,1.562,-1.000
-0.540,0.530,-0.240,0.687,1.562,-1.000
-0.620,0.340,-0.210,1.937,0.562,-1.062
-0.480,0.380,-0.080,2.375,0.687,0.375
-0.480,0.380,-0.080,2.375,0.687,0.375
-0.250,0.490,-0.080,3.125,1.812,1.437
-0.470,0.580,-0.310,4.375,4.000,0.625
-0.590,0.710,-0.530,4.125,5.250,-0.125
-0.590,0.710,-0.530,4.125,5.250,-0.125
-0.610,1.150,-0.700,2.563,5.000,0.437
-0.470,1.280,-0.670,3.500,1.687,-0.875
-0.470,1.280,-0.670,3.500,1.687,-0.875
-0.300,1.250,-0.490,3.188,-3.250,-3.750
-0.160,1.020,-0.290,-0.312,-5.125,-4.312
-0.070,0.470,0.040,-1.937,-4.312,-3.500
-0.070,0.470,0.040,-1.937,-4.312,-3.500
-0.020,0.390,0.090,-2.813,-3.188,-0.812
-0.090,0.550,0.020,-3.375,-2.063,1.437
-0.090,0.550,0.020,-3.375,-2.063,1.437
-0.120,0.600,-0.070,-2.625,-0.812,1.875
-0.340,0.620,-0.230,-2.063,1.312,2.438
-0.290,0.880,-0.360,-2.500,2.000,4.312
-0.290,0.880,-0.360,-1.000,0.937,2.938
-0.150,1.010,-0.310,-1.000,0.937,2.938
-0.120,0.970,-0.270,0.625,-0.687,-0.062
-0.120,0.970,-0.270,0.625,-0.687,-0.062
-0.330,0.870,-0.370,1.437,-1.875,-2.438
-0.300,0.800,-0.250,2.688,-5.062,-4.750
-0.170,0.590,0.020,3.188,-8.125,-5.875
-0.170,0.590,0.020,3.188,-8.125,-5.875
-0.030,0.370,0.210,4.375,-8.750,-6.687
0.000,0.050,0.430,4.687,-6.187,-5.250
0.000,0.050,0.430,4.687,-6.187,-5.250
-0.070,0.070,0.220,3.688,-0.812,-1.187
-0.210,0.300,0.020,2.250,4.375,2.313
-0.290,0.750,-0.160,1.125,7.750,4.500
-0.290,0.750,-0.160,1.125,7.750,4.500
-0.310,0.880,-0.400,2.125,7.375,4.687
-0.310,0.880,-0.400,2.500,5.187,4.250
-0.410,1.010,-0.500,2.500,5.187,4.250
-0.280,1.090,-0.410,1.625,2.313,4.500
-0.170,0.870,-0.400,0.437,-0.187,3.938
-0.220,0.800,-0.260,-1.000,-1.625,2.750
-0.220,0.800,-0.260,-1.000,-1.625,2.750
-0.150,0.720,-0.210,-2.125,-2.125,2.188
-0.150,0.720,-0.210,-2.000,-1.437,0.375
-0.160,0.690,-0.200,-2.000,-1.437,0.375
-0.350,0.480,-0.170,-0.750,-0.125,-1.437
-0.380,0.490,-0.170,1.875,1.250,-2.000
-0.430,0.620,-0.230,4.187,2.813,-3.125
-0.430,0.620,-0.230,4.187,2.813,-3.125
-0.310,0.870,-0.280,4.625,3.125,-3.813
-0.310,0.870,-0.280,6.125,0.375,-4.687
-0.220,0.840,-0.380,6.125,0.375,-4.687
-0.130,0.970,-0.400,5.875,-2.313,-4.937
-0.040,1.160,-0.400,2.563,-2.875,-3.625
-0.040,1.160,-0.400,-2.500,-2.313,-1.687
0.020,1.210,-0.340,-2.500,-2.313,-1.687
-0.080,0.950,-0.240,-6.125,-0.562,-0.437
-0.080,0.950,-0.240,-6.125,-0.562,-0.437
-0.210,0.730,-0.290,-7.375,-0.875,-0.187
-0.280,0.490,-0.220,-5.687,-3.188,-1.437
-0.280,0.490,-0.220,-5.687,-3.188,-1.437
-0.310,0.400,-0.050,-3.000,-4.312,-2.250
-0.150,0.370,0.070,0.187,-4.312,-3.000
-0.150,0.370,0.070,3.375,-3.563,-3.313
-0.090,0.400,0.060,3.375,-3.563,-3.313
0.010,0.490,0.120,4.625,-2.063,-3.813
